Time,Node,PortIndex,DropPacket
+1055600000.0ns,s4,3,1396
+1055700000.0ns,s4,3,1396
+1055800000.0ns,s4,3,1396
+1055900000.0ns,s4,3,1396
+1056000000.0ns,s4,3,1396
+1056100000.0ns,s4,3,1396
+1056200000.0ns,s4,3,1396
+1056300000.0ns,s4,3,1396
+1056400000.0ns,s4,3,1396
+1056500000.0ns,s4,3,1396
+1056600000.0ns,s4,3,1396
+1056700000.0ns,s4,3,1396
+1056800000.0ns,s4,3,1396
+1056900000.0ns,s4,3,1396
+1057000000.0ns,s4,3,1396
+1057100000.0ns,s4,3,1396
+1057200000.0ns,s4,3,1396
+1057300000.0ns,s4,3,1396
+1057400000.0ns,s4,3,1396
+1057500000.0ns,s4,3,1396
+1057600000.0ns,s4,3,1396
+1057700000.0ns,s4,3,1396
+1057800000.0ns,s4,3,1396
+1057900000.0ns,s4,3,1396
+1058000000.0ns,s4,3,1396
+1058100000.0ns,s4,3,1396
+1058200000.0ns,s4,3,1396
+1058300000.0ns,s4,3,1396
+1058400000.0ns,s4,3,1396
+1058500000.0ns,s4,3,1396
+1058600000.0ns,s4,3,1396
+1058700000.0ns,s4,3,1396
+1058800000.0ns,s4,3,1396
+1058900000.0ns,s4,3,1396
+1059000000.0ns,s4,3,1396
+1059100000.0ns,s4,3,1396
+1059200000.0ns,s4,3,1396
+1059300000.0ns,s4,3,1396
+1059400000.0ns,s4,3,1396
+1059500000.0ns,s4,3,1396
+1059600000.0ns,s4,3,1396
+1059700000.0ns,s4,3,1396
+1059800000.0ns,s4,3,1396
+1059900000.0ns,s4,3,1396
+1060000000.0ns,s4,3,1396
+1060100000.0ns,s4,3,1396
+1060200000.0ns,s4,3,1396
+1060300000.0ns,s4,3,1396
+1060400000.0ns,s4,3,1396
+1060500000.0ns,s4,3,1396
+1060600000.0ns,s4,3,1396
+1060700000.0ns,s4,3,1396
+1060800000.0ns,s4,3,1396
+1060900000.0ns,s4,3,1396
+1061000000.0ns,s4,3,1396
+1061100000.0ns,s4,3,1396
+1061200000.0ns,s4,3,1396
+1061300000.0ns,s4,3,1396
+1061400000.0ns,s4,3,1396
+1061500000.0ns,s4,3,1396
+1061600000.0ns,s4,3,1396
+1061700000.0ns,s4,3,1396
+1061800000.0ns,s4,3,1396
+1061900000.0ns,s4,3,1396
+1062000000.0ns,s4,3,1396
+1062100000.0ns,s4,3,1396
+1062200000.0ns,s4,3,1396
+1062300000.0ns,s4,3,1396
+1062400000.0ns,s4,3,1396
+1062500000.0ns,s4,3,1396
+1062600000.0ns,s4,3,1396
