FromNode,ToNode,SourcePort,DestinationPort,Size,Priority,StartTime,EndTime,Duration
h19,h21,3,11,301,0,+1004004392.0ns,+1004661962.0ns,657570
h20,h21,3,8,401,0,+1004008566.0ns,+1004661998.0ns,653432
h12,h23,2,19,450,0,+1003719391.0ns,+1004662256.0ns,942865
h7,h21,2,10,1873,0,+1003528955.0ns,+1004662750.0ns,1133795
h7,h5,1,10,38581,0,+1004638354.0ns,+1004662790.0ns,24436
h11,h22,2,11,219537,0,+1003105531.0ns,+1004664539.0ns,1559008
h24,h19,3,8,552,0,+1004085211.0ns,+1004665660.0ns,580449
h26,h30,3,7,31237,0,+1004656166.0ns,+1004665761.0ns,9595
h12,h21,2,17,407,0,+1003236132.0ns,+1004667665.0ns,1431533
h28,h20,3,6,4095703,0,+1002774156.0ns,+1004669101.0ns,1894945
h5,h20,2,19,655,0,+1003197927.0ns,+1004669990.0ns,1472063
h15,h21,2,8,121949,0,+1003175423.0ns,+1004670550.0ns,1495127
h2,h15,1,9,513,0,+1004236107.0ns,+1004671929.0ns,435822
h30,h22,3,9,1266731,0,+1004146879.0ns,+1004672015.0ns,525136
h7,h3,1,9,118776,0,+1004651258.0ns,+1004672259.0ns,21001
h26,h21,3,10,6915,0,+1004068392.0ns,+1004672429.0ns,604037
h3,h21,2,15,376,0,+1002991504.0ns,+1004672463.0ns,1680959
h12,h21,2,15,308,0,+1002979375.0ns,+1004672610.0ns,1693235
h24,h21,3,10,310,0,+1004365507.0ns,+1004672638.0ns,307131
h29,h26,3,15,947,0,+1004667691.0ns,+1004674165.0ns,6474
h12,h14,1,4,84847,0,+1004613059.0ns,+1004674259.0ns,61200
h13,h10,1,15,947,0,+1004667691.0ns,+1004674263.0ns,6572
h20,h29,3,14,44075,0,+1004661706.0ns,+1004675027.0ns,13321
h21,h28,3,12,69650,0,+1004651726.0ns,+1004675201.0ns,23475
h5,h12,1,12,69650,0,+1004651726.0ns,+1004675201.0ns,23475
h11,h21,2,16,368,0,+1003098327.0ns,+1004675646.0ns,1577319
h2,h23,2,14,1851,0,+1002731358.0ns,+1004677524.0ns,1946166
h6,h23,2,18,711,0,+1003447565.0ns,+1004677585.0ns,1230020
h15,h3,1,18,70707,0,+1004665839.0ns,+1004678246.0ns,12407
h14,h20,2,14,33991,0,+1003215312.0ns,+1004678379.0ns,1463067
h5,h2,1,7,1077276,0,+1004490980.0ns,+1004679366.0ns,188386
h7,h15,1,13,319,0,+1004570731.0ns,+1004679966.0ns,109235
h2,h22,2,9,589,0,+1002360417.0ns,+1004680872.0ns,2320455
h22,h23,3,9,681,0,+1004651950.0ns,+1004680975.0ns,29025
h32,h23,3,8,1473,0,+1004548838.0ns,+1004683242.0ns,134404
h8,h21,2,7,49677,0,+1003403952.0ns,+1004683777.0ns,1279825
h23,h32,3,12,989,0,+1004677878.0ns,+1004684376.0ns,6498
h24,h21,3,9,61235,0,+1004204160.0ns,+1004685123.0ns,480963
h24,h28,3,11,322,0,+1004678899.0ns,+1004687011.0ns,8112
h2,h5,1,11,42413,0,+1004068354.0ns,+1004687222.0ns,618868
h25,h19,3,13,295,0,+1004247054.0ns,+1004687571.0ns,440517
h8,h12,1,11,322,0,+1004678899.0ns,+1004688796.0ns,9897
h7,h23,2,12,586,0,+1003728008.0ns,+1004688886.0ns,960878
h13,h2,1,12,320,0,+1004663279.0ns,+1004690819.0ns,27540
h31,h21,3,7,999,0,+1004490392.0ns,+1004691514.0ns,201122
h16,h21,2,11,623,0,+1003422094.0ns,+1004691805.0ns,1269711
h20,h23,3,8,1841655,0,+1003847858.0ns,+1004694225.0ns,846367
h16,h14,1,11,43739,0,+1004686540.0ns,+1004694495.0ns,7955
h30,h21,3,12,585,0,+1004229528.0ns,+1004694830.0ns,465302
h32,h30,3,11,43739,0,+1004686540.0ns,+1004695090.0ns,8550
h8,h7,1,9,32023,0,+1004690146.0ns,+1004695733.0ns,5587
h32,h24,3,9,2619,0,+1004607915.0ns,+1004695963.0ns,88048
h15,h23,2,14,45332,0,+1003447972.0ns,+1004696406.0ns,1248434
h26,h25,3,8,52151,0,+1004687728.0ns,+1004698421.0ns,10693
h26,h22,3,3,449,0,+1004395575.0ns,+1004698643.0ns,303068
h5,h16,1,9,612,0,+1004247275.0ns,+1004699399.0ns,452124
h27,h23,3,12,1074,0,+1004569652.0ns,+1004701137.0ns,131485
h10,h9,1,8,52151,0,+1004687728.0ns,+1004702816.0ns,15088
h17,h23,3,6,696,0,+1004573889.0ns,+1004704528.0ns,130639
h29,h24,3,9,1271,0,+1004398946.0ns,+1004705426.0ns,306480
h28,h23,3,9,410,0,+1004577094.0ns,+1004706706.0ns,129612
h14,h23,2,19,628,0,+1003478749.0ns,+1004706879.0ns,1228130
h27,h21,3,11,6256,0,+1003975376.0ns,+1004708199.0ns,732823
h2,h21,2,16,349,0,+1003059540.0ns,+1004708707.0ns,1649167
h4,h21,2,18,1072,0,+1003468397.0ns,+1004708796.0ns,1240399
h5,h3,1,7,397,0,+1004708093.0ns,+1004714485.0ns,6392
h12,h21,2,18,1496,0,+1003682770.0ns,+1004714992.0ns,1032222
h21,h18,3,7,1077276,0,+1004490980.0ns,+1004720165.0ns,229185
h8,h14,1,17,109453,0,+1004698468.0ns,+1004720248.0ns,21780
h24,h30,3,17,109453,0,+1004698468.0ns,+1004720248.0ns,21780
h14,h4,1,17,971,0,+1004713908.0ns,+1004720449.0ns,6541
h26,h32,3,7,426,0,+1004714206.0ns,+1004720486.0ns,6280
h10,h4,1,8,320,0,+1004692203.0ns,+1004722349.0ns,30146
h20,h28,3,12,344,0,+1004145337.0ns,+1004722368.0ns,577031
h24,h23,3,9,32023,0,+1004690146.0ns,+1004724627.0ns,34481
h6,h2,1,14,200221,0,+1004701867.0ns,+1004724979.0ns,23112
h4,h6,1,4,78621,0,+1003848234.0ns,+1004726544.0ns,878310
h11,h2,1,11,428,0,+1004723202.0ns,+1004729711.0ns,6509
h7,h16,1,11,32173,0,+1004588211.0ns,+1004732153.0ns,143942
h11,h23,2,14,696,0,+1003211345.0ns,+1004732302.0ns,1520957
h10,h23,2,15,4685,0,+1003234057.0ns,+1004734118.0ns,1500061
h13,h22,2,12,958,0,+1003285867.0ns,+1004734780.0ns,1448913
h14,h21,2,26,416,0,+1002987504.0ns,+1004734783.0ns,1747279
h14,h16,1,12,198872,0,+1004562957.0ns,+1004734933.0ns,171976
h4,h20,2,13,334,0,+1002693705.0ns,+1004735291.0ns,2041586
h27,h17,3,10,696,0,+1004733345.0ns,+1004739699.0ns,6354
h21,h23,3,15,420,0,+1004652381.0ns,+1004739867.0ns,87486
h11,h1,1,10,696,0,+1004733345.0ns,+1004739969.0ns,6624
