Time,Node,IfIndex,qIndex,PfcType,Time
+1012692810.0ns,s43,0,0,P,0
+1012692823.0ns,s43,0,0,R,0
+1012692839.0ns,s43,0,0,P,0
+1012696988.0ns,s43,0,0,R,0
+1012700902.0ns,s43,0,0,P,0
+1012700915.0ns,s43,0,0,R,0
+1012700931.0ns,s43,0,0,P,0
+1012705080.0ns,s43,0,0,R,0
+1012709023.0ns,s43,0,0,P,0
+1012709071.0ns,s43,0,0,R,0
+1012709081.0ns,s43,0,0,P,0
+1012713222.0ns,s43,0,0,R,0
+1012717136.0ns,s43,0,0,P,0
+1012717149.0ns,s43,0,0,R,0
+1012717194.0ns,s43,0,0,P,0
+1012721328.0ns,s43,0,0,R,0
+1012725213.0ns,s43,0,0,P,0
+1012725241.0ns,s43,0,0,R,0
+1012725242.0ns,s43,0,0,P,0
+1012725255.0ns,s43,0,0,R,0
+1012725271.0ns,s43,0,0,P,0
+1012729420.0ns,s43,0,0,R,0
+1012733305.0ns,s43,0,0,P,0
+1012733333.0ns,s43,0,0,R,0
+1012733334.0ns,s43,0,0,P,0
+1012733347.0ns,s43,0,0,R,0
+1012733363.0ns,s43,0,0,P,0
+1012737512.0ns,s43,0,0,R,0
+1012741397.0ns,s43,0,0,P,0
+1012741425.0ns,s43,0,0,R,0
+1012741426.0ns,s43,0,0,P,0
+1012741439.0ns,s43,0,0,R,0
+1012741455.0ns,s43,0,0,P,0
+1012745604.0ns,s43,0,0,R,0
+1012749489.0ns,s43,0,0,P,0
+1012749517.0ns,s43,0,0,R,0
+1012749518.0ns,s43,0,0,P,0
+1012749531.0ns,s43,0,0,R,0
+1012749547.0ns,s43,0,0,P,0
+1012753696.0ns,s43,0,0,R,0
+1012757581.0ns,s43,0,0,P,0
+1012757609.0ns,s43,0,0,R,0
+1012757610.0ns,s43,0,0,P,0
+1012757623.0ns,s43,0,0,R,0
+1012757639.0ns,s43,0,0,P,0
+1012761788.0ns,s43,0,0,R,0
+1012765673.0ns,s43,0,0,P,0
+1012765701.0ns,s43,0,0,R,0
+1012765702.0ns,s43,0,0,P,0
+1012765715.0ns,s43,0,0,R,0
+1012765731.0ns,s43,0,0,P,0
+1012769880.0ns,s43,0,0,R,0
+1012773765.0ns,s43,0,0,P,0
+1012773793.0ns,s43,0,0,R,0
+1012773794.0ns,s43,0,0,P,0
+1012773807.0ns,s43,0,0,R,0
+1012773823.0ns,s43,0,0,P,0
+1012777972.0ns,s43,0,0,R,0
+1012781857.0ns,s43,0,0,P,0
+1012781885.0ns,s43,0,0,R,0
+1012781886.0ns,s43,0,0,P,0
+1012781899.0ns,s43,0,0,R,0
+1012781915.0ns,s43,0,0,P,0
+1012786064.0ns,s43,0,0,R,0
+1012789949.0ns,s43,0,0,P,0
+1012789977.0ns,s43,0,0,R,0
+1012789978.0ns,s43,0,0,P,0
+1012789991.0ns,s43,0,0,R,0
+1012790007.0ns,s43,0,0,P,0
+1012794156.0ns,s43,0,0,R,0
+1012798041.0ns,s43,0,0,P,0
