Time,Node,IfIndex,qIndex,PfcType,Time
+1001845672.0ns,s5,0,0,R,0
+1001845785.0ns,s5,0,0,P,0
+1001845791.0ns,s5,0,0,R,0
+1001845904.0ns,s5,0,0,P,0
+1001849004.0ns,s5,0,0,R,0
+1001850670.0ns,s7,0,0,R,0
+1001854341.0ns,s7,0,0,P,0
+1001854391.0ns,s7,0,0,R,0
+1001854460.0ns,s7,0,0,P,0
+1001855422.0ns,s5,0,0,P,0
+1001855462.0ns,s5,0,0,R,0
+1001855541.0ns,s5,0,0,P,0
+1001855581.0ns,s5,0,0,R,0
+1001855664.0ns,s5,0,0,P,0
+1001855700.0ns,s5,0,0,R,0
+1001855783.0ns,s5,0,0,P,0
+1001858913.0ns,s5,0,0,R,0
+1001860442.0ns,s7,0,0,R,0
+1001863247.0ns,s5,0,0,P,0
+1001865800.0ns,s7,0,0,P,0
+1001865912.0ns,s7,0,0,R,0
+1001865919.0ns,s7,0,0,P,0
+1001868649.0ns,s5,0,0,R,0
+1001870246.0ns,s7,0,0,R,0
+1001872927.0ns,s5,0,0,P,0
+1001872983.0ns,s5,0,0,R,0
+1001873046.0ns,s5,0,0,P,0
+1001874274.0ns,s7,0,0,P,0
+1001874292.0ns,s7,0,0,R,0
+1001874393.0ns,s7,0,0,P,0
+1001876910.0ns,s7,0,0,R,0
+1001880837.0ns,s5,0,0,R,0
+1001883314.0ns,s7,0,0,P,0
+1001883336.0ns,s7,0,0,R,0
+1001883433.0ns,s7,0,0,P,0
+1001884639.0ns,s5,0,0,P,0
+1001884645.0ns,s5,0,0,R,0
+1001884758.0ns,s5,0,0,P,0
+1001887552.0ns,s5,0,0,R,0
+1001887909.0ns,s7,0,0,R,0
+1001896336.0ns,s7,0,0,P,0
+1001896358.0ns,s7,0,0,R,0
+1001896455.0ns,s7,0,0,P,0
+1001896691.0ns,s7,0,0,R,0
+1001896693.0ns,s7,0,0,P,0
+1001901072.0ns,s7,0,0,R,0
+1001908127.0ns,s7,0,0,P,0
+1001908128.0ns,s7,0,0,R,0
+1001908252.0ns,s7,0,0,P,0
+1001918224.0ns,s7,0,0,R,0
+1001922675.0ns,s7,0,0,P,0
+1001922680.0ns,s7,0,0,R,0
+1001922724.0ns,s7,0,0,P,0
+1001927352.0ns,s7,0,0,R,0
+1001930228.0ns,s7,0,0,P,0
+1001930359.0ns,s7,0,0,R,0
+1001930360.0ns,s7,0,0,P,0
+1001933866.0ns,s7,0,0,R,0
+1001936790.0ns,s7,0,0,P,0
+1001941662.0ns,s7,0,0,R,0
+1001944615.0ns,s7,0,0,P,0
+1001944688.0ns,s7,0,0,R,0
+1001944734.0ns,s7,0,0,P,0
+1001945009.0ns,s7,0,0,R,0
+1001945010.0ns,s7,0,0,P,0
+1001949246.0ns,s7,0,0,R,0
+1001956364.0ns,s7,0,0,P,0
+1001956534.0ns,s7,0,0,R,0
+1001956535.0ns,s7,0,0,P,0
+1001956903.0ns,s7,0,0,R,0
+1001956904.0ns,s7,0,0,P,0
+1001957777.0ns,s7,0,0,R,0
+1001957792.0ns,s7,0,0,P,0
+1001957990.0ns,s7,0,0,R,0
+1001957991.0ns,s7,0,0,P,0
+1001957992.0ns,s7,0,0,R,0
+1001963142.0ns,s7,0,0,P,0
+1001965944.0ns,s7,0,0,R,0
+1001970329.0ns,s7,0,0,P,0
+1001973053.0ns,s7,0,0,R,0
+1001980425.0ns,s7,0,0,P,0
+1001980430.0ns,s7,0,0,R,0
+1001980550.0ns,s7,0,0,P,0
+1001982979.0ns,s7,0,0,R,0
+1001988788.0ns,s7,0,0,P,0
+1001988828.0ns,s7,0,0,R,0
+1001988954.0ns,s7,0,0,P,0
+1001991327.0ns,s7,0,0,R,0
+1001997969.0ns,s7,0,0,P,0
+1001998157.0ns,s7,0,0,R,0
+1001998207.0ns,s7,0,0,P,0
+1002002203.0ns,s7,0,0,R,0
+1002007469.0ns,s7,0,0,P,0
+1002011829.0ns,s7,0,0,R,0
+1002016510.0ns,s7,0,0,P,0
+1002021039.0ns,s7,0,0,R,0
+1002024800.0ns,s7,0,0,P,0
+1002030503.0ns,s7,0,0,R,0
+1002036669.0ns,s7,0,0,P,0
+1002036678.0ns,s7,0,0,R,0
+1002036788.0ns,s7,0,0,P,0
+1002041134.0ns,s7,0,0,R,0
+1002046202.0ns,s7,0,0,P,0
+1002049702.0ns,s7,0,0,R,0
+1002054440.0ns,s7,0,0,P,0
+1002057870.0ns,s7,0,0,R,0
+1002062919.0ns,s7,0,0,P,0
+1002066753.0ns,s7,0,0,R,0
