Time,Node,IfIndex,qIndex,PfcType,Time
+1001699309.0ns,s41,0,0,P,0
+1001699378.0ns,s5,0,0,R,0
+1001702414.0ns,s7,0,0,P,0
+1001702494.0ns,s7,0,0,R,0
+1001702533.0ns,s7,0,0,P,0
+1001704019.0ns,s5,0,0,P,0
+1001704020.0ns,s5,0,0,R,0
+1001704144.0ns,s5,0,0,P,0
+1001707135.0ns,s7,0,0,R,0
+1001708087.0ns,s5,0,0,R,0
+1001711635.0ns,s7,0,0,P,0
+1001711636.0ns,s7,0,0,R,0
+1001711873.0ns,s7,0,0,P,0
+1001712738.0ns,s5,0,0,P,0
+1001716060.0ns,s7,0,0,R,0
+1001716655.0ns,s5,0,0,R,0
+1001719846.0ns,s7,0,0,P,0
+1001719868.0ns,s7,0,0,R,0
+1001719965.0ns,s7,0,0,P,0
+1001721036.0ns,s5,0,0,P,0
+1001721058.0ns,s5,0,0,R,0
+1001721155.0ns,s5,0,0,P,0
+1001723210.0ns,s4,0,0,P,0
+1001723248.0ns,s1,0,0,P,0
+1001786871.0ns,s3,0,0,P,0
+1001837570.0ns,s2,0,0,P,0
+1001867285.0ns,s15,0,0,P,0
+1001980188.0ns,s41,0,0,R,0
+1001980357.0ns,s41,0,0,P,0
+1001980357.0ns,s41,0,0,R,0
+1001982233.0ns,s3,0,0,R,0
+1001982349.0ns,s4,0,0,R,0
+1001982378.0ns,s1,0,0,R,0
+1001983645.0ns,s7,0,0,R,0
+1001984143.0ns,s5,0,0,R,0
+1001985299.0ns,s15,0,0,R,0
+1001986880.0ns,s3,0,0,P,0
+1001986902.0ns,s3,0,0,R,0
+1001986999.0ns,s3,0,0,P,0
+1001987105.0ns,s3,0,0,R,0
+1001987118.0ns,s3,0,0,P,0
+1001987572.0ns,s7,0,0,P,0
+1001988821.0ns,s5,0,0,P,0
+1001988941.0ns,s5,0,0,R,0
+1001988942.0ns,s5,0,0,P,0
+1001989062.0ns,s5,0,0,R,0
+1001989063.0ns,s5,0,0,P,0
+1001989715.0ns,s3,0,0,R,0
+1001990656.0ns,s15,0,0,P,0
+1001992146.0ns,s7,0,0,R,0
+1001992888.0ns,s5,0,0,R,0
+1001995289.0ns,s15,0,0,R,0
+1001996170.0ns,s7,0,0,P,0
+1001996259.0ns,s7,0,0,R,0
+1001996289.0ns,s7,0,0,P,0
+1001997681.0ns,s5,0,0,P,0
+1001997801.0ns,s5,0,0,R,0
+1001997802.0ns,s5,0,0,P,0
+1001999385.0ns,s15,0,0,P,0
+1001999604.0ns,s2,0,0,R,0
+1002001394.0ns,s7,0,0,R,0
+1002001520.0ns,s5,0,0,R,0
+1002004422.0ns,s15,0,0,R,0
+1002005151.0ns,s7,0,0,P,0
+1002006485.0ns,s5,0,0,P,0
+1002006486.0ns,s5,0,0,R,0
+1002006606.0ns,s5,0,0,P,0
+1002009030.0ns,s15,0,0,P,0
+1002009031.0ns,s15,0,0,R,0
+1002009155.0ns,s15,0,0,P,0
+1002009990.0ns,s7,0,0,R,0
+1002010788.0ns,s5,0,0,R,0
+1002012138.0ns,s15,0,0,R,0
+1002013895.0ns,s7,0,0,P,0
+1002013917.0ns,s7,0,0,R,0
+1002014125.0ns,s7,0,0,P,0
+1002016045.0ns,s5,0,0,P,0
+1002016165.0ns,s5,0,0,R,0
+1002016166.0ns,s5,0,0,P,0
+1002016286.0ns,s5,0,0,R,0
+1002016287.0ns,s5,0,0,P,0
+1002018299.0ns,s15,0,0,P,0
+1002019128.0ns,s7,0,0,R,0
+1002019985.0ns,s5,0,0,R,0
+1002021264.0ns,s15,0,0,R,0
+1002023232.0ns,s7,0,0,P,0
+1002023233.0ns,s7,0,0,R,0
+1002023271.0ns,s7,0,0,P,0
+1002024401.0ns,s5,0,0,P,0
+1002024525.0ns,s5,0,0,R,0
+1002024526.0ns,s5,0,0,P,0
+1002027490.0ns,s7,0,0,R,0
+1002027736.0ns,s15,0,0,P,0
+1002028755.0ns,s5,0,0,R,0
+1002030336.0ns,s15,0,0,R,0
+1002031804.0ns,s7,0,0,P,0
+1002032937.0ns,s5,0,0,P,0
+1002033061.0ns,s5,0,0,R,0
+1002033062.0ns,s5,0,0,P,0
+1002036129.0ns,s7,0,0,R,0
+1002036668.0ns,s15,0,0,P,0
+1002037482.0ns,s5,0,0,R,0
+1002038915.0ns,s15,0,0,R,0
+1002040391.0ns,s7,0,0,P,0
+1002040413.0ns,s7,0,0,R,0
+1002040510.0ns,s7,0,0,P,0
+1002041783.0ns,s5,0,0,P,0
+1002041784.0ns,s5,0,0,R,0
+1002041904.0ns,s5,0,0,P,0
+1002044614.0ns,s15,0,0,P,0
+1002044690.0ns,s15,0,0,R,0
+1002044724.0ns,s15,0,0,P,0
+1002044935.0ns,s7,0,0,R,0
+1002046090.0ns,s5,0,0,R,0
+1002047189.0ns,s15,0,0,R,0
+1002049078.0ns,s7,0,0,P,0
+1002050518.0ns,s5,0,0,P,0
+1002050638.0ns,s5,0,0,R,0
+1002050639.0ns,s5,0,0,P,0
+1002053265.0ns,s7,0,0,R,0
+1002053289.0ns,s15,0,0,P,0
+1002053388.0ns,s15,0,0,R,0
+1002053408.0ns,s15,0,0,P,0
+1002054825.0ns,s5,0,0,R,0
+1002055605.0ns,s15,0,0,R,0
+1002058122.0ns,s7,0,0,P,0
+1002059368.0ns,s5,0,0,P,0
+1002059369.0ns,s5,0,0,R,0
+1002059489.0ns,s5,0,0,P,0
+1002059490.0ns,s5,0,0,R,0
+1002059610.0ns,s5,0,0,P,0
+1002062190.0ns,s7,0,0,R,0
+1002062870.0ns,s15,0,0,P,0
+1002063554.0ns,s5,0,0,R,0
+1002065333.0ns,s15,0,0,R,0
+1002066214.0ns,s7,0,0,P,0
+1002066268.0ns,s7,0,0,R,0
+1002066333.0ns,s7,0,0,P,0
+1002068323.0ns,s5,0,0,P,0
+1002068324.0ns,s5,0,0,R,0
+1002068448.0ns,s5,0,0,P,0
+1002069357.0ns,s15,0,0,P,0
+1002070746.0ns,s7,0,0,R,0
+1002072503.0ns,s5,0,0,R,0
+1002073770.0ns,s15,0,0,R,0
+1002075246.0ns,s7,0,0,P,0
+1002075268.0ns,s7,0,0,R,0
+1002075365.0ns,s7,0,0,P,0
+1002077153.0ns,s5,0,0,P,0
+1002077273.0ns,s5,0,0,R,0
+1002077274.0ns,s5,0,0,P,0
+1002078389.0ns,s15,0,0,P,0
+1002080147.0ns,s7,0,0,R,0
+1002081095.0ns,s5,0,0,R,0
+1002083171.0ns,s15,0,0,R,0
+1002084409.0ns,s7,0,0,P,0
+1002084431.0ns,s7,0,0,R,0
+1002084528.0ns,s7,0,0,P,0
+1002085511.0ns,s5,0,0,P,0
+1002085512.0ns,s5,0,0,R,0
+1002085632.0ns,s5,0,0,P,0
+1002088953.0ns,s7,0,0,R,0
+1002089810.0ns,s5,0,0,R,0
+1002093096.0ns,s7,0,0,P,0
+1002094234.0ns,s5,0,0,P,0
+1002094354.0ns,s5,0,0,R,0
+1002094355.0ns,s5,0,0,P,0
+1002097283.0ns,s7,0,0,R,0
+1002098690.0ns,s5,0,0,R,0
+1002101426.0ns,s7,0,0,P,0
+1002103844.0ns,s5,0,0,P,0
+1002103845.0ns,s5,0,0,R,0
+1002103965.0ns,s5,0,0,P,0
+1002107195.0ns,s5,0,0,R,0
+1002107517.0ns,s7,0,0,R,0
+1002111262.0ns,s5,0,0,P,0
+1002111902.0ns,s7,0,0,P,0
+1002111920.0ns,s7,0,0,R,0
+1002112021.0ns,s7,0,0,P,0
+1002114615.0ns,s5,0,0,R,0
+1002117783.0ns,s7,0,0,R,0
+1002120855.0ns,s7,0,0,P,0
+1002121058.0ns,s5,0,0,P,0
+1002121178.0ns,s5,0,0,R,0
+1002121179.0ns,s5,0,0,P,0
+1002121299.0ns,s5,0,0,R,0
+1002121304.0ns,s5,0,0,P,0
+1002125496.0ns,s7,0,0,R,0
+1002127839.0ns,s5,0,0,R,0
+1002128806.0ns,s7,0,0,P,0
+1002128878.0ns,s7,0,0,R,0
+1002128925.0ns,s7,0,0,P,0
+1002131180.0ns,s5,0,0,P,0
+1002131181.0ns,s5,0,0,R,0
+1002131301.0ns,s5,0,0,P,0
+1002134352.0ns,s7,0,0,R,0
+1002139906.0ns,s5,0,0,R,0
+1002141827.0ns,s7,0,0,P,0
+1002141849.0ns,s7,0,0,R,0
+1002141946.0ns,s7,0,0,P,0
+1002143239.0ns,s5,0,0,P,0
+1002143240.0ns,s5,0,0,R,0
+1002143364.0ns,s5,0,0,P,0
+1002147561.0ns,s7,0,0,R,0
+1002148444.0ns,s5,0,0,R,0
+1002150722.0ns,s5,0,0,P,0
+1002154126.0ns,s7,0,0,P,0
+1002154157.0ns,s7,0,0,R,0
+1002154203.0ns,s7,0,0,P,0
+1002157474.0ns,s5,0,0,R,0
+1002158060.0ns,s7,0,0,R,0
+1002161447.0ns,s5,0,0,P,0
+1002161567.0ns,s5,0,0,R,0
