FromNode,ToNode,SourcePort,DestinationPort,Size,Priority,StartTime,EndTime,Duration
h6,h11,1,17,48079,0,+1006251825.0ns,+1007967176.0ns,1715351
h15,h7,1,13,335,0,+1006615280.0ns,+1007967480.0ns,1352200
h1,h16,1,8,574,0,+1005302914.0ns,+1007967503.0ns,2664589
h1,h16,1,10,482,0,+1005628519.0ns,+1007967957.0ns,2339438
h1,h5,1,7,1009,0,+1005545868.0ns,+1007968080.0ns,2422212
h1,h15,1,9,315,0,+1005722490.0ns,+1007968123.0ns,2245633
h16,h11,1,16,33951,0,+1006581695.0ns,+1007968183.0ns,1386488
h1,h14,1,16,483,0,+1005754190.0ns,+1007968204.0ns,2214014
h1,h5,1,9,689,0,+1005777823.0ns,+1007968314.0ns,2190491
h1,h13,1,13,593,0,+1006159168.0ns,+1007968783.0ns,1809615
h1,h14,1,18,889,0,+1006186632.0ns,+1007968940.0ns,1782308
h17,h21,3,16,547,0,+1007871600.0ns,+1007968988.0ns,97388
h1,h6,1,12,323,0,+1006166371.0ns,+1007969006.0ns,1802635
h1,h6,1,14,969,0,+1006415903.0ns,+1007969206.0ns,1553303
h1,h16,1,12,313,0,+1006985924.0ns,+1007969523.0ns,983599
h1,h14,1,20,967,0,+1006700255.0ns,+1007969610.0ns,1269355
h22,h25,3,17,885,0,+1007901813.0ns,+1007969778.0ns,67965
h1,h14,1,22,987,0,+1007134346.0ns,+1007969954.0ns,835608
h1,h6,1,15,57945,0,+1006440159.0ns,+1007970505.0ns,1530346
h18,h31,3,16,552,0,+1007515882.0ns,+1007972361.0ns,456479
h2,h15,1,10,337,0,+1004949585.0ns,+1007972741.0ns,3023156
h2,h6,1,11,251,0,+1004991004.0ns,+1007972744.0ns,2981740
h5,h1,1,19,1476,0,+1007561804.0ns,+1007972814.0ns,411010
h2,h14,1,7,510,0,+1005235055.0ns,+1007973289.0ns,2738234
h2,h7,1,6,580,0,+1005510098.0ns,+1007973358.0ns,2463260
h2,h8,1,11,277,0,+1005661578.0ns,+1007973360.0ns,2311782
h12,h8,1,14,40547,0,+1007000959.0ns,+1007973585.0ns,972626
h2,h16,1,15,552,0,+1005754391.0ns,+1007973909.0ns,2219518
h24,h21,3,17,50703,0,+1007704408.0ns,+1007973944.0ns,269536
h1,h8,1,6,2072,0,+1007130271.0ns,+1007974212.0ns,843941
h14,h21,2,28,109,0,+1003715429.0ns,+1007974598.0ns,4259169
h19,h25,3,12,675,0,+1007810784.0ns,+1007974953.0ns,164169
h2,h13,1,8,469,0,+1006420844.0ns,+1007975070.0ns,1554226
h2,h15,1,14,1381,0,+1006352225.0ns,+1007975175.0ns,1622950
h5,h6,1,25,33225,0,+1007954182.0ns,+1007975333.0ns,21151
h5,h23,2,15,951,0,+1004533824.0ns,+1007975749.0ns,3441925
h3,h5,1,18,1151,0,+1007673724.0ns,+1007976295.0ns,302571
h1,h9,1,17,669,0,+1005677460.0ns,+1007977493.0ns,2300033
h17,h25,3,13,8292403,0,+1004469781.0ns,+1007977905.0ns,3508124
h1,h12,1,12,692,0,+1006097316.0ns,+1007978509.0ns,1881193
h2,h5,1,18,1964,0,+1006486392.0ns,+1007978745.0ns,1492353
h7,h20,2,27,611765,0,+1005670750.0ns,+1007978791.0ns,2308041
h1,h11,1,17,697,0,+1006255905.0ns,+1007978866.0ns,1722961
h1,h9,1,19,303,0,+1006383319.0ns,+1007978888.0ns,1595569
h1,h11,1,19,465,0,+1006678431.0ns,+1007979511.0ns,1301080
h11,h9,1,19,460,0,+1005054956.0ns,+1007980664.0ns,2925708
h5,h20,2,26,2598,0,+1004315641.0ns,+1007981267.0ns,3665626
h11,h10,1,12,952,0,+1005263431.0ns,+1007981337.0ns,2717906
h6,h20,2,24,469,0,+1005438025.0ns,+1007981427.0ns,2543402
h5,h20,2,24,554,0,+1004067822.0ns,+1007982070.0ns,3914248
h11,h10,1,14,732,0,+1006158727.0ns,+1007982396.0ns,1823669
h11,h9,1,21,758,0,+1006458266.0ns,+1007982860.0ns,1524594
h11,h10,1,16,559,0,+1006500545.0ns,+1007983027.0ns,1482482
h12,h22,2,18,374,0,+1004202724.0ns,+1007983064.0ns,3780340
h11,h1,1,12,237,0,+1005233367.0ns,+1007983070.0ns,2749703
h2,h10,1,11,1061,0,+1004935718.0ns,+1007983188.0ns,3047470
h11,h9,1,23,353,0,+1007206051.0ns,+1007983463.0ns,777412
h29,h31,3,17,891,0,+1007979365.0ns,+1007983665.0ns,4300
h2,h10,1,13,360,0,+1005200097.0ns,+1007983873.0ns,2783776
h11,h4,1,15,451,0,+1005805609.0ns,+1007983892.0ns,2178283
h2,h12,1,15,620,0,+1005153996.0ns,+1007983896.0ns,2829900
h11,h1,1,16,621,0,+1005856908.0ns,+1007984301.0ns,2127393
h24,h27,3,15,233,0,+1007936226.0ns,+1007984464.0ns,48238
h15,h4,1,16,85376,0,+1007008691.0ns,+1007984465.0ns,975774
h11,h2,1,13,354,0,+1006041226.0ns,+1007984512.0ns,1943286
h4,h15,1,13,299,0,+1007631011.0ns,+1007984735.0ns,353724
h11,h3,1,10,411,0,+1006363191.0ns,+1007984744.0ns,1621553
h12,h10,1,13,22,0,+1006036983.0ns,+1007984771.0ns,1947788
h11,h1,1,18,395,0,+1006436367.0ns,+1007984845.0ns,1548478
h2,h10,1,15,323,0,+1006122954.0ns,+1007985562.0ns,1862608
h6,h20,2,28,604,0,+1006482958.0ns,+1007985692.0ns,1502734
h12,h1,1,13,873,0,+1005291526.0ns,+1007985751.0ns,2694225
h12,h2,1,10,453,0,+1005389755.0ns,+1007985879.0ns,2596124
h1,h23,2,14,271,0,+1003759710.0ns,+1007986019.0ns,4226309
h15,h6,1,11,233,0,+1005933341.0ns,+1007986100.0ns,2052759
h2,h11,1,14,516,0,+1006267189.0ns,+1007986279.0ns,1719090
h16,h7,1,11,961,0,+1006113688.0ns,+1007986393.0ns,1872705
h12,h3,1,13,332,0,+1005775556.0ns,+1007986400.0ns,2210844
h15,h8,1,21,613,0,+1006010083.0ns,+1007986459.0ns,1976376
h2,h10,1,17,340,0,+1006672040.0ns,+1007986475.0ns,1314435
h2,h10,1,19,121,0,+1007055061.0ns,+1007986642.0ns,931581
h2,h23,2,14,1851,0,+1002731358.0ns,+1007986744.0ns,5255386
h15,h6,1,13,223,0,+1006178104.0ns,+1007986817.0ns,1808713
h15,h6,1,15,675,0,+1006293015.0ns,+1007986875.0ns,1693860
h2,h12,1,19,481,0,+1006935292.0ns,+1007986990.0ns,1051698
h15,h7,1,12,436,0,+1006411011.0ns,+1007987014.0ns,1576003
h19,h30,3,17,56634,0,+1007856323.0ns,+1007987343.0ns,131020
h12,h2,1,12,621,0,+1006080866.0ns,+1007987462.0ns,1906596
h11,h1,1,14,1502,0,+1005526466.0ns,+1007987574.0ns,2461108
