Time,Node,IfIndex,qIndex,PfcType,Time
+1002054685.0ns,s13,0,0,P,0
+1002054756.0ns,s5,0,0,R,0
+1002056112.0ns,s7,0,0,R,0
+1002057976.0ns,s13,0,0,R,0
+1002059150.0ns,s15,0,0,R,0
+1002059422.0ns,s7,0,0,P,0
+1002059444.0ns,s7,0,0,R,0
+1002059541.0ns,s7,0,0,P,0
+1002059993.0ns,s5,0,0,P,0
+1002060113.0ns,s5,0,0,R,0
+1002060114.0ns,s5,0,0,P,0
+1002062579.0ns,s15,0,0,P,0
+1002062952.0ns,s13,0,0,P,0
+1002063966.0ns,s7,0,0,R,0
+1002064425.0ns,s5,0,0,R,0
+1002066990.0ns,s15,0,0,R,0
+1002067806.0ns,s13,0,0,R,0
+1002068228.0ns,s7,0,0,P,0
+1002068282.0ns,s7,0,0,R,0
+1002068347.0ns,s7,0,0,P,0
+1002068353.0ns,s5,0,0,P,0
+1002071371.0ns,s15,0,0,P,0
+1002071473.0ns,s13,0,0,P,0
+1002072469.0ns,s7,0,0,R,0
+1002072876.0ns,s5,0,0,R,0
+1002075493.0ns,s15,0,0,R,0
+1002075900.0ns,s13,0,0,R,0
+1002076566.0ns,s5,0,0,P,0
+1002076686.0ns,s5,0,0,R,0
+1002076687.0ns,s5,0,0,P,0
+1002077088.0ns,s7,0,0,P,0
+1002077163.0ns,s7,0,0,R,0
+1002077207.0ns,s7,0,0,P,0
+1002079805.0ns,s13,0,0,P,0
+1002080231.0ns,s15,0,0,P,0
+1002081329.0ns,s5,0,0,R,0
+1002081447.0ns,s7,0,0,R,0
+1002084353.0ns,s13,0,0,R,0
+1002084471.0ns,s15,0,0,R,0
+1002085376.0ns,s5,0,0,P,0
+1002085590.0ns,s7,0,0,P,0
+1002085612.0ns,s7,0,0,R,0
+1002085709.0ns,s7,0,0,P,0
+1002088442.0ns,s13,0,0,P,0
+1002088733.0ns,s15,0,0,P,0
+1002089542.0ns,s5,0,0,R,0
+1002089896.0ns,s7,0,0,R,0
+1002092685.0ns,s13,0,0,R,0
+1002092920.0ns,s15,0,0,R,0
+1002092968.0ns,s7,0,0,P,0
+1002095965.0ns,s15,0,0,P,0
+1002096921.0ns,s5,0,0,P,0
+1002096922.0ns,s5,0,0,R,0
+1002097042.0ns,s5,0,0,P,0
+1002099416.0ns,s7,0,0,R,0
+1002100304.0ns,s13,0,0,P,0
+1002102041.0ns,s5,0,0,R,0
+1002102440.0ns,s15,0,0,R,0
+1002103916.0ns,s7,0,0,P,0
+1002103938.0ns,s7,0,0,R,0
+1002104035.0ns,s7,0,0,P,0
+1002105303.0ns,s13,0,0,R,0
+1002106921.0ns,s5,0,0,P,0
+1002106922.0ns,s5,0,0,R,0
+1002107042.0ns,s5,0,0,P,0
+1002107059.0ns,s15,0,0,P,0
+1002108698.0ns,s7,0,0,R,0
+1002109590.0ns,s13,0,0,P,0
+1002111565.0ns,s5,0,0,R,0
+1002111722.0ns,s15,0,0,R,0
+1002112960.0ns,s7,0,0,P,0
+1002113032.0ns,s7,0,0,R,0
+1002113079.0ns,s7,0,0,P,0
+1002115731.0ns,s5,0,0,P,0
+1002115851.0ns,s5,0,0,R,0
+1002115852.0ns,s5,0,0,P,0
+1002116103.0ns,s15,0,0,P,0
+1002116255.0ns,s13,0,0,R,0
+1002117554.0ns,s7,0,0,R,0
+1002119114.0ns,s13,0,0,P,0
+1002120256.0ns,s5,0,0,R,0
+1002120578.0ns,s15,0,0,R,0
+1002121102.0ns,s7,0,0,P,0
+1002121124.0ns,s7,0,0,R,0
+1002121221.0ns,s7,0,0,P,0
+1002123827.0ns,s5,0,0,P,0
+1002124351.0ns,s13,0,0,R,0
+1002124483.0ns,s15,0,0,P,0
+1002127074.0ns,s7,0,0,R,0
+1002127089.0ns,s13,0,0,P,0
+1002129384.0ns,s15,0,0,R,0
+1002130622.0ns,s7,0,0,P,0
+1002130730.0ns,s5,0,0,R,0
+1002134218.0ns,s13,0,0,R,0
+1002134717.0ns,s15,0,0,P,0
+1002134718.0ns,s15,0,0,R,0
+1002134836.0ns,s15,0,0,P,0
+1002134976.0ns,s5,0,0,P,0
+1002135737.0ns,s7,0,0,R,0
+1002138047.0ns,s15,0,0,R,0
+1002138145.0ns,s13,0,0,P,0
+1002138928.0ns,s7,0,0,P,0
+1002139856.0ns,s5,0,0,R,0
+1002142785.0ns,s15,0,0,P,0
+1002143546.0ns,s5,0,0,P,0
+1002143666.0ns,s5,0,0,R,0
+1002143667.0ns,s5,0,0,P,0
+1002143833.0ns,s13,0,0,R,0
+1002144164.0ns,s7,0,0,R,0
+1002146548.0ns,s13,0,0,P,0
+1002146593.0ns,s15,0,0,R,0
+1002147355.0ns,s7,0,0,P,0
+1002147357.0ns,s7,0,0,R,0
+1002147474.0ns,s7,0,0,P,0
+1002149737.0ns,s5,0,0,R,0
+1002151093.0ns,s15,0,0,P,0
+1002151094.0ns,s15,0,0,R,0
+1002151212.0ns,s15,0,0,P,0
+1002151879.0ns,s7,0,0,R,0
+1002153546.0ns,s5,0,0,P,0
+1002154427.0ns,s15,0,0,R,0
+1002155729.0ns,s7,0,0,P,0
+1002155730.0ns,s7,0,0,R,0
+1002155784.0ns,s7,0,0,P,0
+1002158783.0ns,s5,0,0,R,0
+1002159522.0ns,s15,0,0,P,0
+1002159523.0ns,s15,0,0,R,0
+1002159704.0ns,s15,0,0,P,0
+1002160013.0ns,s7,0,0,R,0
+1002162798.0ns,s15,0,0,R,0
+1002162949.0ns,s5,0,0,P,0
+1002162950.0ns,s5,0,0,R,0
+1002163038.0ns,s13,0,0,R,0
+1002163070.0ns,s5,0,0,P,0
+1002163071.0ns,s5,0,0,R,0
+1002163191.0ns,s5,0,0,P,0
+1002163442.0ns,s7,0,0,P,0
+1002163454.0ns,s7,0,0,R,0
+1002163583.0ns,s7,0,0,P,0
+1002165634.0ns,s13,0,0,P,0
+1002167085.0ns,h5,0,0,P,0
+1002167320.0ns,s15,0,0,P,0
+1002167321.0ns,s15,0,0,R,0
+1002167417.0ns,s15,0,0,P,0
+1002167476.0ns,s5,0,0,R,0
+1002167976.0ns,s7,0,0,R,0
+1002170524.0ns,s15,0,0,R,0
+1002170810.0ns,s7,0,0,P,0
+1002171809.0ns,s13,0,0,R,0
+1002174504.0ns,s15,0,0,P,0
+1002174505.0ns,s15,0,0,R,0
+1002174595.0ns,s15,0,0,P,0
+1002176617.0ns,s5,0,0,P,0
+1002176663.0ns,s5,0,0,R,0
+1002176736.0ns,s5,0,0,P,0
+1002178484.0ns,s13,0,0,P,0
+1002180352.0ns,s7,0,0,R,0
+1002180709.0ns,s5,0,0,R,0
+1002182662.0ns,s15,0,0,R,0
+1002182905.0ns,s7,0,0,P,0
+1002185079.0ns,s13,0,0,R,0
+1002186448.0ns,s15,0,0,P,0
+1002186449.0ns,s15,0,0,R,0
+1002186642.0ns,s15,0,0,P,0
+1002187135.0ns,s5,0,0,P,0
+1002187136.0ns,s5,0,0,R,0
+1002187256.0ns,s5,0,0,P,0
+1002189158.0ns,s7,0,0,R,0
+1002189519.0ns,s13,0,0,P,0
+1002191422.0ns,s5,0,0,R,0
+1002191640.0ns,s15,0,0,R,0
+1002192944.0ns,s7,0,0,P,0
+1002194612.0ns,s13,0,0,R,0
+1002195374.0ns,s5,0,0,P,0
+1002197114.0ns,s15,0,0,P,0
+1002197115.0ns,s15,0,0,R,0
+1002197211.0ns,s15,0,0,P,0
+1002197280.0ns,s7,0,0,R,0
+1002198398.0ns,s13,0,0,P,0
+1002199709.0ns,s15,0,0,R,0
+1002199749.0ns,s5,0,0,R,0
+1002200709.0ns,s7,0,0,P,0
+1002200820.0ns,s7,0,0,R,0
+1002200828.0ns,s7,0,0,P,0
+1002202773.0ns,s13,0,0,R,0
+1002202940.0ns,s5,0,0,P,0
+1002204804.0ns,s15,0,0,P,0
+1002205964.0ns,s13,0,0,P,0
+1002208011.0ns,s7,0,0,R,0
+1002209260.0ns,s5,0,0,R,0
+1002210321.0ns,s15,0,0,R,0
+1002211083.0ns,s7,0,0,P,0
+1002212142.0ns,s5,0,0,P,0
+1002212689.0ns,s13,0,0,R,0
+1002214917.0ns,s13,0,0,P,0
+1002214971.0ns,s15,0,0,P,0
+1002217407.0ns,s7,0,0,R,0
+1002218002.0ns,s5,0,0,R,0
+1002219717.0ns,s15,0,0,R,0
+1002220598.0ns,s7,0,0,P,0
+1002220955.0ns,s5,0,0,P,0
+1002224245.0ns,s15,0,0,P,0
+1002226332.0ns,s5,0,0,R,0
+1002227641.0ns,s7,0,0,R,0
+1002229475.0ns,s13,0,0,R,0
+1002229523.0ns,s5,0,0,P,0
+1002229545.0ns,s5,0,0,R,0
+1002229642.0ns,s5,0,0,P,0
+1002230713.0ns,s7,0,0,P,0
+1002231141.0ns,s15,0,0,R,0
+1002231484.0ns,h6,0,0,P,0
+1002232190.0ns,s13,0,0,P,0
+1002233618.0ns,s15,0,0,P,0
+1002236209.0ns,s7,0,0,R,0
+1002236804.0ns,s5,0,0,R,0
+1002239043.0ns,s7,0,0,P,0
+1002239065.0ns,s7,0,0,R,0
+1002239162.0ns,s7,0,0,P,0
+1002239336.0ns,s15,0,0,R,0
+1002240114.0ns,s5,0,0,P,0
+1002240423.0ns,s13,0,0,R,0
+1002242289.0ns,s15,0,0,P,0
+1002242479.0ns,h5,0,0,R,0
+1002242999.0ns,h6,0,0,R,0
+1002243138.0ns,s13,0,0,P,0
+1002243944.0ns,s7,0,0,R,0
+1002245313.0ns,h5,0,0,P,0
+1002245314.0ns,h5,0,0,R,0
+1002245432.0ns,h5,0,0,P,0
+1002245753.0ns,h6,0,0,P,0
+1002246659.0ns,s7,0,0,P,0
+1002246730.0ns,s15,0,0,R,0
+1002247305.0ns,s5,0,0,R,0
+1002249635.0ns,h5,0,0,R,0
+1002249663.0ns,s5,0,0,P,0
+1002249802.0ns,s15,0,0,P,0
