Time,Node,PortIndex,DropPacket
+1009300000.0ns,s35,0,2443
+1009300000.0ns,s35,1,3566
+1009300000.0ns,s35,3,45
+1009400000.0ns,s1,1,7210
+1009400000.0ns,s1,2,5884
+1009400000.0ns,s1,3,5245
+1009400000.0ns,s6,2,7653
+1009400000.0ns,s6,3,6728
+1009400000.0ns,s21,0,981
+1009400000.0ns,s21,4,1
+1009400000.0ns,s21,1,607
+1009400000.0ns,s21,3,1120
+1009400000.0ns,s9,2,2898
+1009400000.0ns,s9,3,2709
+1009400000.0ns,s28,0,909
+1009400000.0ns,s28,1,1330
+1009400000.0ns,s28,3,1102
+1009400000.0ns,s35,0,2443
+1009400000.0ns,s35,1,3566
+1009400000.0ns,s35,3,45
+1009500000.0ns,s1,1,7210
+1009500000.0ns,s1,2,5884
+1009500000.0ns,s1,3,5245
+1009500000.0ns,s6,2,7657
+1009500000.0ns,s6,3,6765
+1009500000.0ns,s21,0,1425
+1009500000.0ns,s21,4,79
+1009500000.0ns,s21,1,1101
+1009500000.0ns,s21,3,1693
+1009500000.0ns,s9,2,3248
+1009500000.0ns,s9,3,3131
+1009500000.0ns,s28,0,909
+1009500000.0ns,s28,1,1330
+1009500000.0ns,s28,3,1102
+1009500000.0ns,s35,0,2444
+1009500000.0ns,s35,1,3566
+1009500000.0ns,s35,3,45
+1009600000.0ns,s1,1,7210
+1009600000.0ns,s1,2,5884
+1009600000.0ns,s1,3,5245
+1009600000.0ns,s6,2,7747
+1009600000.0ns,s6,3,6808
+1009600000.0ns,s21,0,1759
+1009600000.0ns,s21,4,550
+1009600000.0ns,s21,1,1677
+1009600000.0ns,s21,3,2010
+1009600000.0ns,s9,2,3512
+1009600000.0ns,s9,3,3344
+1009600000.0ns,s27,0,10
+1009600000.0ns,s27,1,38
+1009600000.0ns,s28,0,909
+1009600000.0ns,s28,1,1330
+1009600000.0ns,s28,3,1102
+1009600000.0ns,s35,0,2444
+1009600000.0ns,s35,1,3566
+1009600000.0ns,s35,3,45
+1009700000.0ns,s1,1,7414
+1009700000.0ns,s1,2,6029
+1009700000.0ns,s1,3,5474
+1009700000.0ns,s6,2,8017
+1009700000.0ns,s6,3,7194
+1009700000.0ns,s21,0,2049
+1009700000.0ns,s21,4,625
+1009700000.0ns,s21,1,1842
+1009700000.0ns,s21,3,2409
+1009700000.0ns,s9,2,3753
+1009700000.0ns,s9,3,3490
+1009700000.0ns,s27,0,307
+1009700000.0ns,s27,1,241
+1009700000.0ns,s28,0,909
+1009700000.0ns,s28,1,1330
+1009700000.0ns,s28,3,1102
+1009700000.0ns,s35,0,2444
+1009700000.0ns,s35,1,3566
+1009700000.0ns,s35,3,45
+1009800000.0ns,s1,1,7895
+1009800000.0ns,s1,2,6404
+1009800000.0ns,s1,3,5912
+1009800000.0ns,s6,2,8367
+1009800000.0ns,s6,3,7406
+1009800000.0ns,s21,0,2294
+1009800000.0ns,s21,4,968
+1009800000.0ns,s21,1,2077
+1009800000.0ns,s21,3,2657
+1009800000.0ns,s9,2,3912
+1009800000.0ns,s9,3,3628
+1009800000.0ns,s27,0,559
+1009800000.0ns,s27,1,521
+1009800000.0ns,s28,0,909
